RESOLUÃÃO,CTT,UNNAMED: 2,DEMANDA,ATIVO/RECEPTIVO,DIRETOR,BANCO,RESPONSÁVEL,SITUAÃÃO
03/01/2025,204471,1.0,50% A 80%,ATIVO,ADRIANO,PANAMERICANO,KATIA,RESOLVIDO
03/01/2025,208891,1.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,VITORIA,RESOLVIDO
03/01/2025,215902,1.0,50% A 80%,ATIVO,ADRIANO,PANAMERICANO,KATIA,RESOLVIDO
06/01/2025,202261,1.0,50% A 80%,ATIVO,ADRIANO,RENNER,MONYZA,RESOLVIDO
06/01/2025,204097,1.0,50% A 80%,ATIVO,ADRIANO,SANTANDER,JULIA,RESOLVIDO
07/01/2025,208767,2.0,50% A 80%,ATIVO,ADRIANO,TOYOTA,ITAYNNARA,RESOLVIDO
07/01/2025,210526,1.0,50% A 80%,ATIVO,ADRIANO,ITAÃ,MARIA BRUNA,RESOLVIDO
07/01/2025,213529,1.0,50% A 80%,ATIVO,ADRIANO,SANTANDER,GREICY,RESOLVIDO
07/01/2025,219050,1.0,50% A 80%,ATIVO,ADRIANO,PANAMERICANO,VITORIA,RESOLVIDO
08/01/2025,208353,1.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,FABIANA,RESOLVIDO
08/01/2025,208513,1.0,50% A 80%,ATIVO,ADRIANO,RENNER,MARIA BRUNA,RESOLVIDO
08/01/2025,207643,1.0,50% A 80%,ATIVO,ADRIANO,SANTANDER,EDIANE,RESOLVIDO
13/01/2025,211565,1.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,AMANDA SANTANA,RESOLVIDO
13/01/2025,204040,1.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,AMANDA SANTANA,RESOLVIDO
13/01/2025,206813,1.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,AMANDA SANTANA,RESOLVIDO
13/01/2025,220402,1.0,50% A 80%,ATIVO,ADRIANO,PANAMERICANO,GREICY,RESOLVIDO
14/01/2025,204736,1.0,50% A 80%,ATIVO,ADRIANO,PANAMERICANO,VITORIA,RESOLVIDO
15/01/2025,217207,1.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,FABIANA,RESOLVIDO
15/01/2025,220853,1.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,FABIANA,RESOLVIDO
17/01/2025,203219,1.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,FABIANA,RESOLVIDO
