RESOLUÃÃO,CTT,NÂ°,DEMANDA,ATIVO/RECEPTIVO,DIRETOR,BANCO,RESPONSÃVEL,  ,Unnamed: 9
02/01/2025,176597.0,1.0,"R$ 10.000,00",RECEPTIVO,JULIO,PANAMERICANO,THALISSON,RESOLVIDO,APROVADO
02/01/2025,206086.0,1.0,"R$ 1.300,00",RECEPTIVO,JULIO,OMNI,LETICIA,RESOLVIDO,AGUARDANDO PROCURAÃÃO
07/01/2025,230654.0,1.0,"R$ 1.800,00",RECEPTIVO,JULIO,OMNI,JULIANE,RESOLVIDO,SEM DESCONTO
02/01/2025,213221.0,2.0,"R$ 12.000,00",RECEPTIVO,JULIO,BV FINANCEIRA,LETICIA,RESOLVIDO,SEM DESCONTO
02/01/2025,230977.0,1.0,VERIFICAR SE QUITOU,RECEPTIVO,JULIO,BV FINANCEIRA,ISABELLA,RESOLVIDO,QUITADO CLIENTE
02/01/2025,175687.0,1.0,"R$ 7.000,00",RECEPTIVO,JULIO,BRADESCO,BRUNA RAQUEL,RESOLVIDO,SEM DESCONTO
02/01/2025,229229.0,2.0,"R$ 20.000,00",RECEPTIVO,JULIO,GMAC,ALANA,RESOLVIDO,SEM DESCONTO
06/01/2025,207339.0,2.0,"R$ 7.000,00",RECEPTIVO,JULIO,PANAMERICANO,ANA LIDIA,RESOLVIDO,SEM DESCONTO
02/01/2025,226868.0,1.0,"R$ 25.000,00",RECEPTIVO,JULIO,ITAÃ,ISABELLA,RESOLVIDO,SEM DESCONTO
02/01/2025,187350.0,2.0,"R$ 7.000,00",RECEPTIVO,JULIO,BRADESCO,FABIANA,RESOLVIDO,SEM DESCONTO
02/01/2025,187350.0,2.0,"R$ 7.000,00",RECEPTIVO,JULIO,BRADESCO,BRUNA RAQUEL,RESOLVIDO,SEM DESCONTO
06/01/2025,222007.0,1.0,valores,RECEPTIVO,JULIO,SANTANDER,ANA LIDIA,RESOLVIDO,SEM DESCONTO
02/01/2025,214575.0,3.0,"R$ 8.000,00",RECEPTIVO,JULIO,RCI,MONYZA,RESOLVIDO,
14/01/2025,226520.0,2.0,"R$ 12.000,00",RECEPTIVO,JULIO,OMNI,FELIPE,RESOLVIDO,AGUARDANDO PROCURAÃÃO
02/01/2025,231607.0,1.0,VERIFICAR SE O CLIENTE FEZ ACORDO COM O BANCO,RECEPTIVO,JULIO,SANTANDER,BRUNA RAQUEL,RESOLVIDO,REFINANCIAMENTO
02/01/2025,219001.0,2.0,valores,RECEPTIVO,JULIO,ITAÃ,LETICIA,RESOLVIDO,SEM DESCONTO
02/01/2025,176593.0,1.0,valores,RECEPTIVO,JULIO,ITAÃ,ALANA,RESOLVIDO,
02/01/2025,224857.0,1.0,valores,RECEPTIVO,JULIO,BV FINANCEIRA,BRUNO MARIANO,RESOLVIDO,SEM DESCONTO
02/01/2025,201964.0,1.0,"R$ 15.000,00",RECEPTIVO,JULIO,BV FINANCEIRA,BRUNA RAQUEL,RESOLVIDO,SEM DESCONTO
02/01/2025,235195.0,1.0,valores,RECEPTIVO,ANTUNES,RCI,FABIANA,RESOLVIDO,SEM DESCONTO
02/01/2025,225707.0,1.0,valores,RECEPTIVO,JULIO,BV FINANCEIRA,MONYZA,RESOLVIDO,
02/01/2025,200020.0,1.0,"RECEBEU UMA PROPSOTA DE 21 MIL, ATUALIZAR NO SISTEMA",RECEPTIVO,JULIO,SANTANDER,BRUNO MARIANO,RESOLVIDO,SEM DESCONTO
03/01/2025,155329.0,1.0,valores,RECEPTIVO,JULIO,SANTANA,POLIANA,RESOLVIDO,AGUARDANDO BOLETO
02/01/2025,172851.0,2.0,"R$ 4.500,00",ATIVO,JULIO,BRADESCO,THALISSON,RESOLVIDO,SEM DESCONTO
02/01/2025,195670.0,2.0,VALORES,ATIVO,JULIO,BRADESCO,LETICIA,RESOLVIDO,SEM DESCONTO
06/01/2025,234495.0,1.0,"R$ 6.000,00",RECEPTIVO,JULIO,BRADESCO,ELISANGELA,RESOLVIDO,SEM DESCONTO
02/01/2025,237826.0,1.0,valores,ATIVO,JULIO,BV FINANCEIRA,VICTOR ADRIANO ,RESOLVIDO,
02/01/2025,155654.0,2.0,"R$ 1.700,00",RECEPTIVO,JULIO,PANAMERICANO,POLIANA,RESOLVIDO,SEM DESCONTO
02/01/2025,224396.0,1.0,"R$ 10.962,50",RECEPTIVO,JULIO,ITAÃ,THALISSON,RESOLVIDO,SEM DESCONTO
02/01/2025,199249.0,2.0,"R$ 6.300,00",RECEPTIVO,ANTUNES,SANTANDER,BRUNA RAQUEL,RESOLVIDO,SEM DESCONTO
02/01/2025,172646.0,1.0,"R$ 21.000,00",RECEPTIVO,JULIO,BRADESCO,FABIANA,RESOLVIDO,APROVADO
06/01/2025,88143.0,2.0,valores,RECEPTIVO,JULIO,BV FINANCEIRA,,RESOLVIDO,CANCELADO
